seller_id,order_volume_perf,late_rate,severe_late_rate,avg_delay,revenue,avg_review,low_review_rate,review_variance,order_volume_rev,seller_risk_index
54965bbe3e4f07ae045b90b0b8541f52,78,0.3023255813953488,0.29069767441860467,-1.8148148148148149,15560.58,2.9382716049382718,0.43023255813953487,3.2586419753086426,78,0.44958262542972177
2a1348e9addc1af5aaa619b1a3679d6b,52,0.2727272727272727,0.23636363636363636,1.2745098039215685,4686.43,3.0,0.4,3.0566037735849045,52,0.3609356285047383
6039e27294dc75811c0d8a39069f52c0,64,0.25333333333333335,0.12,-6.5,27817.5,3.8266666666666667,0.18666666666666668,2.307387387387388,64,0.2763531642091189
602044f2c16190c2c6e45eb35c2e21cb,50,0.25,0.16666666666666666,-7.241379310344827,7015.16,2.9322033898305087,0.48333333333333334,3.0298071303331393,50,0.33522790799239194
beadbee30901a7f61d031b6b686095ad,64,0.23529411764705882,0.17647058823529413,-9.073529411764707,5943.35,3.9411764705882355,0.17647058823529413,1.996488147497805,64,0.24921715044153056
bbad7e518d7af88a0897397ffdca1979,69,0.2235294117647059,0.18823529411764706,-6.404761904761905,10846.52,3.0357142857142856,0.4470588235294118,3.3119621342512904,69,0.3128303763003819
a49928bcdf77c55c6d6e05e09a9b4ca5,98,0.2169811320754717,0.16037735849056603,-3.8365384615384617,12521.22,2.933333333333333,0.4339622641509434,2.7935897435897443,98,0.3399048774220484
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,0.21686746987951808,0.14457831325301204,-4.414634146341464,6963.6,3.54320987654321,0.27710843373493976,2.8262345679012353,75,0.26506902355641954
06a2c3af7b3aee5d69171b0e14f0ee87,392,0.21182266009852216,0.15024630541871922,-10.622828784119108,52511.619999999995,4.00250626566416,0.16009852216748768,1.9623052606390332,392,0.3161489723984963
ea566164622c6b439516ab18062c42cd,50,0.21153846153846154,0.15384615384615385,-7.134615384615385,11644.36,3.75,0.25,2.465686274509804,50,0.22179529210239787
2a261b5b644fa05f4f2700eb93544f2c,51,0.2073170731707317,0.13414634146341464,-8.451219512195122,16985.94,3.4935064935064934,0.3048780487804878,3.147983595352015,51,0.23448082453636268
712e6ed8aa4aa1fa65dab41fed5737e4,79,0.20689655172413793,0.1839080459770115,-9.105882352941176,50181.13,3.453488372093023,0.3333333333333333,2.6272229822161424,79,0.2625247583294697
0d85bbda9889ce1f7e63778d24f346eb,51,0.1896551724137931,0.15517241379310345,-9.53448275862069,11373.58,4.211538461538462,0.10344827586206896,1.5426093514328811,51,0.17793350708774808
88460e8ebdecbfecb5f9601833981930,248,0.1830065359477124,0.12745098039215685,-10.279605263157896,61159.72,3.3533333333333335,0.30392156862745096,2.764370122630991,248,0.3011123086988106
cd68562d3f44870c08922d380acae552,125,0.18181818181818182,0.14393939393939395,-6.984496124031008,23491.760000000002,3.8396946564885495,0.21212121212121213,2.320258367586612,125,0.22900883058400276
11bfa66332777660bd0640ee84d47006,76,0.17647058823529413,0.13725490196078433,-8.186274509803921,9604.56,3.764705882352941,0.27450980392156865,2.5579499126383234,76,0.20361587914939144
d20b021d3efdf267a402c402a48ea64b,90,0.16822429906542055,0.14018691588785046,-5.398058252427185,9131.26,3.676190476190476,0.2336448598130841,2.355677655677656,90,0.20641916777194436
