product_category_name,order_volume,revenue,avg_review,late_rate,avg_delay,revenue_at_risk,delay_review_correlation
agro_industria_e_comercio,182,118725.45,4.0,0.03773584905660377,-10.820388349514563,1120.0514150943395,
alimentos,450,46411.27,4.23469387755102,0.08431372549019608,-9.264529058116233,924.059020930782,
alimentos_bebidas,227,27289.760000000002,4.310218978102189,0.050359712230215826,-10.970260223048328,318.84794424917305,
artes,202,30992.93,3.9514563106796117,0.06698564593301436,-12.208121827411167,525.396530336339,
artigos_de_natal,128,18994.93,4.02054794520548,0.11764705882352941,-11.426666666666666,555.8191762701672,
audio,350,60324.62,3.8333333333333335,0.12087912087912088,-9.533149171270718,1902.2574868609652,
automotivo,3897,853853.1900000001,4.065201815142107,0.07665094339622641,-10.817567567567568,16099.73022534663,
bebes,2885,540307.17,4.011202635914333,0.08018252933507171,-11.033500837520938,10800.550219173678,
bebidas,297,71397.18000000001,4.037533512064343,0.05013192612137203,-10.853185595567867,886.5011627369153,
beleza_saude,8836,1661799.7,4.141946273649002,0.08341936816023127,-11.36876515870505,33468.87473282793,
brinquedos,3886,619302.13,4.158644400785855,0.06747572815533981,-11.494916935283907,10048.433610242391,
cama_mesa_banho,9417,1779073.46,3.8983932809932447,0.07837886091769326,-11.070742753623188,35769.03129901043,
casa_conforto,397,85198.95,3.8429561200923787,0.09862385321100918,-9.271461716937354,2186.5065527550505,
casa_construcao,490,136642.6,3.9379194630872485,0.07450331125827815,-10.951342281879194,2585.2042568080433,
climatizacao,253,91143.66,3.958477508650519,0.037037037037037035,-13.570934256055363,852.7751146076148,
consoles_games,1062,197088.37,4.02491103202847,0.0641476274165202,-11.06605504587156,3141.125661234206,
construcao_ferramentas_construcao,748,241287.43,4.055374592833876,0.077502691065662,-10.974890829694322,4611.2694936646485,
construcao_ferramentas_iluminacao,244,72667.11,4.0508474576271185,0.07894736842105263,-10.647840531561462,1416.2165238934153,
construcao_ferramentas_jardim,194,42628.95,4.046218487394958,0.0625,-12.927350427350428,658.4689836448598,
construcao_ferramentas_seguranca,167,65691.05,3.844559585492228,0.04639175257731959,-11.819672131147541,792.6845378192124,
cool_stuff,3632,781534.1,4.148020196651608,0.06210526315789474,-11.904864283794678,11701.336697094457,
eletrodomesticos,764,103541.63,4.175765645805592,0.054637865311308764,-11.996103896103897,1354.7919385121425,
eletrodomesticos_2,234,124993.36,4.132478632478633,0.06694560669456066,-11.892241379310345,2024.875882533652,
eletronicos,2550,259656.37,4.03932993445011,0.08673653776653416,-10.524001465738365,5575.601624107524,
eletroportateis,630,226368.62,4.149629629629629,0.0513950073421439,-13.26969696969697,2803.6759723950067,
esporte_lazer,7720,1403288.6,4.10978603998597,0.06853582554517133,-11.415681173131505,23401.593597182993,
fashion_bolsas_e_acessorios,1864,219484.83,4.147704590818363,0.05691854759568204,-12.780732563973908,3011.9690227071583,
fashion_calcados,240,32422.74,4.25390625,0.04961832061068702,-14.295719844357977,378.18461758458983,
fashion_roupa_masculina,112,17291.010000000002,3.6384615384615384,0.05303030303030303,-12.136,252.01516913319242,
fashion_underwear_e_moda_praia,121,12714.539999999999,3.951219512195122,0.11450381679389313,-10.259842519685039,368.4592451229855,
ferramentas_jardim,3518,845378.29,4.042129629629629,0.07293577981651377,-11.396402709647278,15253.920697924408,
industria_comercio_e_negocios,235,57036.770000000004,4.09469696969697,0.06691449814126393,-11.875471698113207,932.0804123952419,
informatica_acessorios,6689,1600843.12,3.937226089198247,0.07206518971224854,-11.793062980831921,29301.10197604632,
instrumentos_musicais,628,233064.35,4.1513353115727005,0.07941176470588235,-10.910906298003072,4458.336880650044,
livros_interesse_geral,512,64637.68,4.446265938069216,0.059674502712477394,-11.529850746268657,867.5192766726944,
livros_tecnicos,260,24913.19,4.361216730038023,0.08614232209737828,-10.653992395437262,492.08286822161057,
malas_acessorios,1034,187115.23,4.313996316758748,0.04945054945054945,-12.042711234911792,2144.867601792018,
market_place,280,45331.96,4.022875816993464,0.03536977491961415,-14.072131147540984,398.56592517520335,
moveis_cozinha_area_de_servico_jantar_e_jardim,248,74660.97,4.007246376811594,0.042704626334519574,-11.773722627737227,795.650810010747,
moveis_decoracao,6449,1441206.51,3.9136734445391452,0.07723577235772358,-11.844688644688645,28441.99944227511,
moveis_escritorio,1273,660664.06,3.493738819320215,0.08362779740871613,-11.218507462686567,15813.96979630263,
moveis_sala,422,136351.94,3.898580121703854,0.07539682539682539,-11.268145161290322,2636.986567357085,
papelaria,2311,318992.04,4.1958350020024024,0.07652656621728787,-11.415216511533792,5817.999387534964,
pcs,181,279121.59,4.175,0.054187192118226604,-10.964824120603016,3622.710232736498,
perfumaria,3162,509487.13,4.163391023760633,0.06793002915451896,-11.838603818615752,8312.809293490469,
pet_shop,1710,311645.06,4.183979328165375,0.056981519507186856,-11.932987012987013,4244.28699878283,
relogios_presentes,5624,1430422.3,4.019531907728574,0.07703851925962982,-11.323042810847689,27415.534554178063,
sinalizacao_e_seguranca,140,68488.09,4.076923076923077,0.04020100502512563,-12.16751269035533,675.3352953446478,
telefonia,4199,486759.86,3.9463176574977816,0.07545094588649362,-10.797562626946513,9306.521938698712,
telefonia_fixa,217,207185.58,3.683206106870229,0.03773584905660377,-14.140625,2122.6951592531036,
unknown,1451,253962.17,3.839723444374607,0.08012422360248447,-10.845106934543098,5299.475858206354,
utilidades_domesticas,5884,1102045.79,4.056874095513749,0.05631986242476354,-11.718713278495887,15299.23429155124,
